habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
median veins 	 Nervure médiane saillante dessus.
secondary veins 	 Nervures secondaires 8-13 paires courtes, peu ascendantes.
inflorescences 	 Petites inflorescences axillaires pluriflores à petit pédoncule maigre, long de 1,5-4 mm, portant de très courtes divisions en petits glomérules ou fascicules bractéolés.
pedicels 	 Pédicelle grêle de 2-6 mm.
buds 	 Bouton ové ou obové de 1,8 mm, à pétales ne se coiffant pas les uns les autres au sommet.
flowers 	 Fleur épanouie jaune de 3-4,5 mm de diamètre.
sepals 	 Sépales 5 inégaux, ovés, obtus ou un peu denticulés.
petals 	 Pétales 5 imbriqués à la base, d'environ 1,8 x 1 mm, en cuiller, subétalés ou réfléchis.
disk 	 Disque en bourrelet bas creusé de 6 fossettes d'où l'aspect d'un petit anneau irrégulier.
stamens 	 Étamines 3 insérées dans un petit sillon périgyne, à filet étroitement rubané, long d'environ 0,6-1,2 mm; 3 anthères de 0,5 mm, parfois un peu adhérentes entre elles latéralement, à sommet du connectif un peu saillant au fond de l'échancrure apicale. 
pistil 	 Pistil à 3 sillons longitudinaux; ovaire petit, un peu enfoncé, à 2 ovules un peu superposés par loge;  3 petits lobes stigmatiques aigus dressés, alternistémones. 
fruits 	 Fruit souvent par groupes, petits, globuleux, de l-l,5(-2) cm de diamètre, orangé à rouge à maturité, presque lisse ou un peu bosselé, à 1-2 graines.
style 	 Style se dissociant ± en 3 petites cornes au début du développement.
habit 	 Liane glabre à filaments de caoutchouc différant de la variété-type par ses limbes foliaires plus grands de 6-10 x 2-4,5 cm, à marges peu dentées ou entières.
secondary veins 	 Nervures secondaires 7-10 paires.
peduncle 	 Pédoncule de l'inflorescence long de 0,5-3 mm.
flowers 	 Fleurs jaunes ou blanches de 3-3,6 mm de diamètre.
sepals 	 Sépales deltoïdes aigus, un peu inégaux, un peu denticulés, souvent à carène un peu charnue.
disk 	 Disque d'environ 1 mm de diamètre, peu épais et marqué de fossettes sous chaque loge d'anthère.
androecium 	 Androcée à 3 ou souvent 4 étamines.
pistil 	 Pistil à 3 ou 4 loges.
style 	 Style haut de 0,5-1 mm, lobulé mais non furqué au sommet.
locules 	 Loges à 2 ovules superposés, ou stériles.
fruits 	 Fruit non connu.
habit 	 Liane plus ou moins élevée de 2 à 15 m, à caoutchouc en filaments abondants.
juvenile shoots 	 Jeunes rameaux lisses subcylindriques.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétioles plutôt grêles de 4-11 mm, à bords du canal droits.
lamina 	 Limbe discolore, olivacé luisant dessus, plus clair et mate à blanchâtre dessous, oblong, de 6-11(13) x 2-4,5 cm, à base aiguë, à sommet acu-miné à caudé sur 6-17 mm, à marges entières.
secondary veins 	 Nervures secondaires (7)9-13 paires faiblement ascendantes subparallèles; fines nervures apparentes à sec même à la face supérieure. 
inflorescences 	 Inflorescences 1-4- flores en petits glomérules axillaires subsessiles.
buds 	 Boutons subglobuleux de 1,5-2 x 1,3-2 mm, à petites carènes charnues convergentes au sommet soulignant les médianes des pétales extérieurs.
pedicels 	 Pédicelle de 1-5(6) mm.
flowers 	 Fleur saumonée ou rose orangé, rotacée, de 4-6 mm de diamètre.
sepals 	 Sépales inégaux à subégaux, subaigus à arrondis, larges de 0,8 à 1,3 mm, un peu charnus en long au milieu, entiers.
petals 	 Pétales ovés ou brièvement oblongs, de 2-3 x 1,6-2,4 mm, à nervation subparallèle sur les deux tiers de la surface, peu couvrants entre eux au sommet du bouton ct réfractés en fin d'anthèse.
disk 	 Disque subcylindrique à obtron-conique, à constriction médiane ± distincte, de 1,1-2 mm de diamètre et 0,5-0,8 mm d'épaisseur.
stamens 	 Étamines de 1,3-2 mm, à filets peu espacés entre eux à la base; anthère orangée de 0,6-0,9 mm de largeur, à loges adhérentes plutôt que confluentes, à sommet émarginé ou pauci-apiculé, à fentes en chevrons de 90° environ. 
ovary 	 Ovaire enfoncé au niveau du disque, à 2-5(6) ovules plutôt superposés.
style 	 Style pyramidal subulé long de 1,2-1,8 mm.
fruits 	 Fruit rouge vif à maturité, ové à oblong, de 34-50 x 15-34 mm, y compris un petit bec ou acumen, lisse ou un peu fripé, à 3 côtes méridiennes, à pédoncule court.
mucilage 	 Mucilage sucré parfois abondant.
seeds 	 Graines 2, 18 x 15 x 10 mm, à cotylédons saumon pâle entièrement soudés, à embryon presque indistinct, à testa brune très mince avec du caoutchouc.
habit 	 Liane glabre présentant des filaments de caoutchouc; jeunes rameaux lisses olivacés, comprimés aux approches des noeuds. 
leaves 	 Feuilles opposées, subopposées ou presque alternes.
petiole 	 Pétiole de 6-13 mm à marges du canal droites.
lamina 	 Limbe vert olive ou vert jaune à sec, elliptique, de 9-16 x 4,5-7 cm, à base aiguë, à acumen médiocre, court ou étroit, à marges entières ou subcrénelées confusément.
secondary veins 	 Nervures secondaires 7-10 paires; réticule très fin, visible à la loupe sur les deux faces du limbe. 
inflorescences 	 Inflorescences axillaires multiflores sur glomérules capités sessiles de 2-3(4) mm de diamètre, et formant des bouquets dont les plus fournis sont sphériques.
pedicels 	 Pédicelles grêles 5-9 mm.
buds 	 Boutons oblongs, 2,2 x 1,2-1,6 mm, à sec un peu turbinés.
flowers 	 Fleurs jaunes, rougeâtres en fin d'an-thèse, de 3-5 mm de diamètre.
calyx 	 Calice à sépales courts un peu inégaux, à sommet aigu ou obtus, entiers ou marginés et dentés latéralement, larges de 0,6-1 mm.
petals 	 Pétales oblongs de 2-3 x 1-1,2 mm, à partie proximale un peu élargie, à partie distale en cuiller, sinueux ou réfléchis, à 3 nervures principales subparallèles.
disk 	 Disque tronconique micropapillifère, de 0,7-0,8 x 0,8-1,1 mm, couronné autour de l'androcée par 6 à 9 petits denticules saillants: 3 sont opposés aux loges d'ovaire, 3 autres parfois dédoublés s'opposent aux filets. 
stamens 	 Étamines de 1,4-2 mm, à filets grêles ± contournés, espacés à la base; anthère d'environ 0,5 mm, à loges conni-ventes ou confluentes, à fentes en chevron un peu sinueux d'environ 90°, à sommet échancré ou microapiculé. 
style 	 Style, 0,8-1,2 mm, pyramidal subulé, à stigmate ponctiforme.
locules 	 Loges enfoncées plus qu'à demi, à 2 ovules superposés ou parfois juxtaposés.
fruits 	 Fruit non connu.
habit 	 Grande liane atteignant 10-12 cm de diamètre, contenant du caoutchouc.
juvenile shoots 	 Jeunes rameaux à écorce brun rougeâtre à sec, postérieurement grisâtres et lenticellés.
leaves 	 Feuilles opposées ou subopposées, à stipules caduques.
petiole 	 Pétiole de 6-14 mm, à bords du canal droits.
lamina 	 Limbe elliptique ou oblong, brun à brunâtre à sec, subcoriace, de 6-14(-16) x 2-5,5 cm, entier ou confusément subdenticulé, à base aiguë, à sommet ± acuminé.
secondary veins 	 Nervures secondaires 7-11 paires peu ascendantes et ensuite arquées; réticule médiocrement dense. 
inflorescences 	 Inflorescences en bouquets ou fascicules multiflores souvent sphéri-ques, de 2-3 cm de diamètre, sur des glomérules axillaires sessiles ou subsessiles.
pedicels 	 Pédicelle de 5,5-13 mm.
buds 	 Boutons ovoïdes d'environ 2 x 2 mm.
flowers 	 Petites fleurs jaunes de 3,5-6 mm de diamètre, à corolle souvent réfléchie.
sepals 	 Sépales inégaux, larges de 0,7-1,3 mm, à marge entière ou ± érodée.
petals 	 Pétales ovés, de 1,6-2,7 x 1,5-2 mm (réhydratés et à plat), paucinerviés.
disk 	 Disque tronconique, à sommet tronqué ou ± bosselé, de 1-1,9 mm de diamètre et 0,5-0,7 mm d'épaisseur.
stamens 	 Étamines de 1-1,8 mm, espacées entre elles à la base, insérées dans des fossettes; anthère émarginée ou apiculée, de 0,6-0,8 mm de largeur, à fentes en chevron formant un angle aigu ou presque droit. 
locules 	 Loges semi-enfoncées contenant chacune (1)2 ovules superposés ou parfois juxtaposés.
style 	 Style subulé de 0,5-2 mm; stigmates ponctiformes, parfois lobulés en fin d'anthèse. 
fruits 	 Fruit globuleux de 1,5-3 cm de diamètre, rugueux, à 1-2 graines dont les téguments sont riches en caoutchouc.
habit 	 Liane glabre contenant du caoutchouc.
wood 	 Bois montrant en coupe des cernes concentriques interrompus.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 3-6(-l 1) mm.
lamina 	 Limbe brun roux subdiscolore et subcoriace de 5-11 x 2,5-4,5 cm, à base brièvement cunéiforme, à acumen court, à marge subentière ou dentée.
secondary veins 	 Nervures secondaires 7-10 paires.
axillary flowers 	 Fleurs axillaires en fascicules sessiles pauciflores ou jusqu'à 20-flo-res.
buds 	 Bouton ové.
pedicels 	 Pédicelle plutôt grêle de 3-8 mm.
sepals 	 Sépales très inégaux et dentés sublaciniés.
petals 	 Pétales ovés de 2,2-3 x 1,75-2,5 mm.
disk 	 Disque tronco-nique de 1,7 mm de diamètre, 0,6 mm d'épaisseur et faiblement étranglé à mi-hauteur, un peu lobé verticalement entre les bases des pétales.
stamens 	 Étamines de 1-2 mm à anthère largement cordiforme plus large que longue, microapiculée ou non.
pistil 	 Pistil pyramidal à stigmate étroitement tronqué.
locules 	 Loges enfoncées de plus de la moitié de leur hauteur; 2 ovules par loge superposés. 
fruits 	 Fruit globoïde de 2-3 cm de diamètre, lisse ou ± rugueux et tri-costé, au moins vers le sommet.
habit 	 Liane glabre de 5-20 m de hauteur, contenant du caoutchouc; jeunes rameaux un peu comprimés aux noeuds;  rameaux cylindriques à écorce lisse. 
leaves 	 Feuilles opposées ou nettement subopposées.
petiole 	 Pétiole de (6-)7-8 mm.
lamina 	 Limbe mince, un peu discolore et brun à roux clair à sec, brillant dessus, elliptique, de 4,5-13,5 x 2-7,5 cm; base aiguë;  sommet à acumen de 5-11 mm, arrondi à l'extrémité;  marge denticulée à dentée. 
secondary veins 	 Nervures secondaires 7-9 paires; fin réseau visible seulement par transparence. 
inflorescences 	 Inflorescences multiflores axillaires pédonculées, ± dissymétrique-ment dichasiales, les ramifications étant souvent ± alternes; le bouquet floral de 2 inflorescences opposées peut mesurer 3-5 cm de diamètre. 
bracts 	 Très petites bractées aiguës.
pedicels 	 Pédicelles de 3,5-5 mm.
buds 	 Bouton plutôt étroit et conique, 3 x 1,8 mm.
flowers 	 Fleur vert pâle, ± crème ou jaunâtre, rousse à sec, de 6 mm de diamètre.
sepals 	 Sépales 5 de 0,8 mm, de largeur très inégale, 0,6-1,3 mm, les petits externes aigus, les grands internes très arrondis.
petals 	 Pétales très peu recouvrants entre eux au sommet du bouton, environ 3,2 x 1,4 mm, larges seulement à la base, pliés en gouttière et à sommet ± étroitement cucullé.
disk 	 Disque en tronc de cône de 1 mm pour un diamètre à la base de 1,3 mm, subtrigone vers la mi-hauteur et subhexagonal au niveau d'insertion des étamines, à surface finement guttulée papilleuse.
stamens 	 Étamines dépassant 2 mm, filet épaissi dans l'axe.
anthers 	 Anthère sagittée de 1,2 x 0,8 mm, à acumen aigu de 0,2 mm, à loges parallèles sur plus de la moitié de leur longueur.
style 	 Style subulé pyramidal trifurqué en stigmates aigus à l'apex.
locules 	 Loges de l'ovaire enfoncées du tiers ou de la moitié sous le niveau d'insertion de l'androcée et contenant chacune 5-7 ovules, la plupart superposés.
fruits 	 Fruit inconnu.
habit 	 Liane buissonnante ou très élevée, glabre, contenant du caoutchouc.
wood 	 Bois dépassant 3 cm de diamètre, orné en coupe de sillons de parenchyme à la fois rayonnants et concentriques, formant ainsi des îlots ligneux.
internodes 	 Entre-noeuds souvent grêles, lisses, ± marqués de très fines arêtes à sec.
leaves 	 Feuilles opposées ou subopposées, plutôt petites.
petiole 	 Pétiole de 3-8 mm, à bords du canal droits ou à peu près.
lamina 	 Limbe mince, elliptique ou oblong, de 3-8(10) x 1-3(4) cm, à base aiguë, à sommet acuminé ou rostré, à marge dentée souvent peu distinctement, concolore ou un peu discolore.
secondary veins 	 Nervures secondaires 6-8(9) paires peu obliques.
inflorescences 	 Inflorescences axillaires 1-20-flores, à pédoncule de 3-10 mm, parfois brièvement divisé à son sommet.
pedicels 	 Pédicelles de 7-13 mm.
buds 	 Bouton oblong, 4-6 x 2-2,8 mm.
flowers 	 Fleur presque blanche ou verte de 6-10 mm de diamètre.
calyx 	 Calice de 2 mm de diamètre à 5 sépales subégaux obtusément deltoïdes d'environ 1 mm.
petals 	 Pétales 5 de 4-5,5 x 1,5-3 mm (à plat), un peu réfléchis.
column 	 Colonne haute de 4-5,5 mm.
disk 	 Disque papillifère haut de 1-1,3 mm pour 1,2-1,5 mm de diamètre à la base; une couronne glabre sans papilles, épaisse de 0,2 mm sépare le disque de l'androcée. 
stamens 	 Étamines 3 de 3-3,5 mm à filets espacés à la base; anthère elliptique de 1,2-1,4 x 0,9 mm, à très petit apicule terminal, fentes de déhiscence parallèles vers le bas. 
pistil 	 Pistil subulé de 2,5-3,6 mm, à stigmates microlobulés alternistémones; 3 loges situées plus haut que le disque, allongées, à (4)5-7 ovules ± superposés chacune. 
fruits 	 Fruit de la forme et du volume d'un très gros citron, au Gabon selon GRIFFON DU BELLAY; lisse, oblong, de 6-10 x 3,5 cm, rouge orangé et tacheté en Côte-d'Ivoire comme au Zaïre (Breyne 3196, BR). 
mucilage 	 Mucilage sucré abondant.
inflorescences 	 inflorescences pauciflores et presque sessiles
peduncle 	 pédoncule souvent réduit à 1 mm
habit 	 Liane de 3 à 20 m de hauteur, glabre, contenant du caoutchouc; rameaux roux, tôt lenticellés. 
leaves 	 Feuilles opposées ou subopposées, parfois presque alternes.
petiole 	 Pétiole de 4-10 mm, à marges du canal droites ou plus rarement un peu ondulées.
lamina 	 Limbe vert ou brun vert, plus rarement brun à sec, discolore, elliptique ou oblong, de 6-16 x 2,5-7,5 cm, à base aiguë à obtuse, à sommet acuminé plutôt brièvement; marge dentée à entière, souvent avec un petit rebord par dessous. 
secondary veins 	 Nervures secondaires 6-8(10) paires; fin réseau plutôt dense. 
inflorescences 	 Inflorescences pluri- à multiflores axillaires; glomérule florifère court, ± divisé sur un pédoncule variable, long de 0,5-5(7) mm, ou sessile. 
pedicels 	 Pédicelles de 6-15(25) mm.
buds 	 Bouton oblong de 4-5 x 2,5-3 mm.
flowers 	 Fleurs de 6-10(12) mm de diamètre, vert pâle ou presque blanches ou crème.
sepals 	 Sépales verts ± inégaux à presque égaux, subdeltoïdes à largement semi-circulaires, subentiers, paucidenticulés ou ± fimbriés.
corolla 	 Corolle ± réfléchie en fin d'anthèse, à pétales oblongs ou ovés de 4-6 x 2,5-3,5 mm, à sommet un peu en cuiller.
disk 	 Disque tronconique haut de 0,9-1,3 mm, large à la base de 1,5-1,2 mm, micropapillifère (zone vert foncé devenant brune) sur les trois quarts de sa hauteur seulement: le matériel réhydraté présente une couronne pâle de 0,2 mm d'épaisseur sous les étamines. 
filaments 	 Filets espacés dépassant 2 mm; anthères un peu plus hautes, 1,5 mm, que larges, 1 mm, à sommet du connectif saillant en petit apicule;  loges non confluentes, juxtaposées suivant un angle très aigu. 
pistil 	 Pistil étroitement pyramidal terminé par un stigmate ponctiforme (qui s'épanouit parfois en trois petits lobules oppositistémones.
locules 	 Loges de l'ovairc situćcs plus des deux tiers au-dessus du niveau de l'androcée et contenant chacune 6-8 ovules ± nettement bisériés.
fruits 	 Fruit orange vif, globuleux a courtement ellipsoïde de 3-8,5 x 3-8 cm, lisse ou faiblement verruculeux ou mamelonné, parfois avec un petit acumen tricostulé, contenant 6-13 graines ou plus.
seeds 	 Graine de 15 x 10 mm.
habit 	 Liane, parfois buisson sarmenteux, glabre et contenant du caoutchouc.
wood 	 Bois présentant en coupe des anneaux festonnés concentriques de parenchyme.
juvenile shoots 	 Jeunes rameaux cylindriques lisses, élargis aux noeuds.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de (6)8-13 mm, à bords du canal droits.
lamina 	 Limbe brun olivacé dessus et jaunâtre olivacé dessous à sec, elliptique, de 6-16 x 3-8 cm, à base aiguë, parfois très brièvement, à sommet acuminé; marge entière ± denticulée ou parfois dentée. 
secondary veins 	 Nervures secondaires (6)7-10 paires arquées ascendantes; fin réseau bien visible à sec sur les deux faces. 
inflorescences 	 Fascicules 5-10-flores ou sphériques multiflores; les inflorescences sont axillaires, sessiles ou subsessiles ou pédonculées sur l-2(-4) mm. 
pedicels 	 Pédicelles de 8-12(-15) mm, plutôt grêles.
buds 	 Bouton globuleux ou brièvement ové de 3-4 mm.
flowers 	 Fleur presque rotacée de 7-9(-12) mm de diamètre, jaune ou jaune vert.
sepals 	 Sépales 4 minces à marge subentière ± fendue, en 2 paires opposées: les externes petits de 1-1,8 mm, les internes grands subpétaloïdes de 3 x 3,7-4 mm. 
petals 	 Pétales 5 ovés d'environ 4 x 3 mm, concaves dessus au-delà de l'aire proximale.
disk 	 Disque brun tronconique de 1,5-2,5 mm de diamètre, haut de 0,6-1 mm, étranglé parfois par un sillon médian transversal, et couronné de 6 fossettes de contact avec les thèques.
stamens 	 Étamines de 2,5-3(4) mm, espacées mais larges à la base, à anthère orangée apiculée au sommet, large de 0,7-0,9 mm, à thèques juxtaposées, déhiscences en un chevron aigu; filet spiralé en fin d'anthèse. 
pistil 	 Pistil en pyramide étroite, haute de 2-2,4 mm, à stigmate ponctiforme; loges enfoncées pour plus de la moitié de leur hauteur, avec chacune 2-5 ovules le plus souvent superposés. 
fruits 	 Fruit sphérique de 3-6 cm de diamètre, irrégulièrement muriqué sur toute ou une grande partie de sa surface, rouge orangé à maturité, à pédoncule nettement épaissi; 2 ou nombreuses graines. 
habit 	 Liane dépassant 5 m de hauteur, à caoutchouc abondant, entièrement glabre.
internodes 	 Entre-noeuds lisses ocracés, à épiderme un peu plissé à sec.
petiole 	 Pétiole canaliculé de 7-14 mm.
lamina 	 Limbe roux ocracé elliptique de 8-22 x 4-8,5 cm, subcoriace, aigu à la base, à acumen de 4-9 mm; marge subentière un peu rebordée. 
median veins 	 Nervure médiane presque sans relief à la face supérieure; (5)6-8(9) paires de nervures secondaires;  réticule apparent sur les deux faces. 
inflorescences 	 Inflorescences en glomérules axillaires sessiles pauci- ou pluriflores (10 boutons vus).
pedicels 	 Pédicelle de 4-7 mm.
buds 	 Boutons ovoïdes d'environ 5-8 x 5-7 mm, roux orangé à sec.
flowers 	 Fleur de 12-16 mm de diamètre, blanc verdâtre ou blanc crème, orangée à sec.
sepals 	 Sépales 5 très inégaux, à marge brune amincie et craquelée comme celle des pétales inférieurs; au total jusqu'à 14 pièces périanthaires étalées ou '± érigées, les plus grands pétales atteignant 8,5 x 5,5 mm. 
disk 	 Disque épais de 2 mm, étranglé au-dessus de sa base, large de 4 mm au-dessus de l'étranglement qui est un peu ridé en long; sommet avec un sillon périgyne. 
stamens 	 Étamines 3 à filet robuste élargi à la base, haut de 2 mm, blanc; anthère jaune pâle allongée, de 1,7 x 1,4 mm, à thèques disposées en angle très aigu, à connectif un peu apiculé. 
style 	 Style triédrique atténué, blanc, haut de 3 mm.
ovary 	 Ovaire enfoncé à loges étroites contenant chacune 4 ovules alignés en une seule rangée verticale.
fruits 	 Fruit orange vif et luisant à maturité, de 7-10 x 4,5-5,5 cm, à tégument un peu fripé pustuleux et tricostulé, à base un peu atténuée, à sommet brièvement acuminé à rostré, à pédoncule épaissi long de 7-12 mm.
seeds 	 Graines 6-7 ou plus dans un fruit.
habit 	 Liane élevée dépassant 4-12 m, riche en caoutchouc, glabre; bois montrant en coupe des stries concentriques de parenchyme espacées d'environ 5 mm (bois de 7 cm de diamètre). 
leaves 	 Feuilles opposées ou subopposées, coriaces, souvent brun roux à sec, parfois brun olivâtre, souvent concolores.
petiole 	 Pétiole de 10-23 mm, à bords du canal droits.
lamina 	 Limbe elliptique de 9-21 (-25) x 4-9(12) cm, à marge entière, base ordinairement aiguë, sommet ± brièvement acuminé à lancéolé.
secondary veins 	 Nervures secondaires 8-12 paires.
inflorescences 	 Inflorescences axillaires en glomérules sessiles ou subsessiles, à 1-10 fleurs environ.
pedicels 	 Pédicelle de 7-16 mm, plutôt robuste.
buds 	 Bouton globuleux de 3-4 mm de diamètre.
flowers 	 Fleur jaune rotacée de 11-12 mm de diamètre, à 8-12 pièces périanthaires.
sepals 	 Sépales 2(3) petits, les autres se confondant avec les pétales.
petals 	 Pétales 4-7, les supérieurs surnuméraires moins larges et souvent difformes, de 4-5,5 x 3-7 mm, entiers ou un peu dentés ciliés, parfois subonguiculés.
disk 	 Disque de 2,7-3,7 mm de diamètre et environ 1 mm d'épaisseur, tronconique, à contour parfois un peu anguleux, parfois ceinturé d'un léger sillon à mi-hauteur.
stamens 	 Étamines 3 à filet d'environ 2 mm se tordant en spirale, la base avec une fossette adaxiale; anthère d'environ 1 mm de largeur, un peu échancrée à l'apex, à fente de déhiscence en chevron. 
style 	 Style subulé, trièdre à la base, presque aussi long que les étamines; loges de l'ovaire aux trois quarts enfoncées, à 4(5) ovules superposés ou juxtaposés par deux. 
fruits 	 Fruit lisse ou peu verruculeux, globuleux ou un peu atténué aux extrémités, obtusément trigone, de 2,5-5 cm de diamètre, à graines nombreuses.
habit 	 Arbuste sarmenteux ou liane dépassant 5-8 m de hauteur et 4 cm de diamètre, contenant du caoutchouc, glabre.
leaves 	 Feuilles opposées ou subopposées, elliptiques, peu coriaces, plutôt chartacées, souvent olivacées ou brun olivâtre à sec, le dessous du limbe étant toujours dépourvu de pruine mate.
petiole 	 Pétiole de 6-14 mm, à bords du canal droits.
lamina 	 Limbe elliptique de 8-20 x 3,5-8,5 cm, à marge faiblement ou plus souvent nettement dentée; base aiguë à arrondie;  sommet acuminé sur 2-7(-10) mm. 
secondary veins 	 Nervures secondaires (7)8-10 paires.
inflorescences 	 Inflorescences axillaires en glomérules subsessiles ou plus souvent pédonculés sur 1-5 mm, portant (1)3-15 fleurs environ.
pedicels 	 Pédicelle de 3-10 mm, plutôt grêle.
buds 	 Bouton globuleux de 2,5-4 mm.
flowers 	 Fleur jaune, orangée ou bronzée, rotacée, de 6,5-10 mm de diamètre, à 9-10(12) pièces périanthaires dont trois sépales les plus petites; les 7 autres pétaloïdes atteignant 2,5-4,5 mm de longueur, les internes un peu plus petits et moulant les étamines dans le bouton. 
disk 	 Disque de 1,5-2,1 mm de diamètre et 0,5-0,8 mm d'épaisseur, ceint par un très net sillon à mi-hauteur et à bord supérieur charnu en bourrelet denté.
stamens 	 Étamines 3 de 2,5-3 mm à filets se tordant en spirales; anthère de 0,8-1 mm de largeur, échancrée ou microapiculée au sommet, à fente en chevron. 
style 	 Style subulé, trièdre à la base, un peu moins long que les étamines.
locules 	 Loges d'ovaire à demi enfoncées ayant ordinairement 4 ovules superposés ou non, plus rarement 5 ovules.
fruits 	 Fruit verruculeux à échinulé, globuleux à obovoïde, de 2-3 cm de diamètre, à graines ± nombreuses.
habit 	 Liane contenant du caoutchouc parfois peu abondant dans les feuilles.
internodes 	 Entre-noeuds gris à sec, lisses, à 4 arêtes fines, bien saillantes à alifor-mes.
petiole 	 Pétiole de 5-8 mm, à canal large aux bords droits.
lamina 	 Limbe elliptique ou oblong, parfois obové, roux ou roussâtre dessus à sec; base arrondie à aiguë;  sommet brièvement à moyennement acuminé, à marge dentée parfois médiocrement, souvent distinctement micropustuleux dessous entre les nervures, de 8-23 x 4-11,5 cm. 
secondary veins 	 Nervures secondaires 6-10 paires, pas de très fin réticule apparent.
inflorescences 	 Glomérules 1-6-filores multibractéolés axillaires sessiles.
pedicels 	 Pédicelle de 9-12 mm.
buds 	 Bouton ové de 2-3 mm de diamètre.
flowers 	 Fleur riche en caoutchouc, de (8)10-13 mm de diamètre, jaune vert pâle.
sepals 	 Sépales 5 inégaux, obtus au sommet, à marge ciliolée glanduleuse, larges de 0,8-2,4 mm avec les cils.
petals 	 Pétales 5(7) elliptiques de 4-6 x 2-3 mm, étalés ou un peu réfléchis; disque en poulie de 3 mm de diamètre et 1,2 mm d'épaisseur. 
stamens 	 Étamines 3 espacées à filet de près de 3 mm, ne se contournant pas en spirale, à base peu élargie mais munie d'un axe externe saillant.
anthers 	 Anthère de 1,4 x 1,4 (-1,8) mm, à 2 loges longitudinales non confluentes, à apex du connectif pourvu d'un remarquable mucron.
style 	 Style pyramidal de 3 mm avec le sommet de l'ovaire; 3 loges ayant chacune 3 ovules superposés. 
fruits 	 Fruit oblong ellipsoïde de 6-8 x 2,5-3 cm, à 3 crêtes longitudinales; base atténuée ou non, sommet atténué à apiculé;  paroi de 1 mm d'épaisseur à sec. 
seeds 	 Graines, 4 dans un fruit, la plus grande de 30 x 14 mm.
habit 	 Liane dépourvue de caoutchouc, à bois cylindrique.
hairs 	 Pubescence remarquable surtout aux jeunes extrémités et dissimulant les stipules.
leaves 	 Feuilles opposées pétiolées entières; limbes à poils étoilés sans équivalent dans la sous-famille. 
inflorescences 	 Inflorescences à base de cymes sans ramifications supplémentaires.
bracts 	 Bractées grandes et enveloppantes dans les inflorescences juvéniles.
buds 	 Boutons vêtus jusqu'au sommet par les sépales.
petals 	 Pétales pubescents, à base onguiculée et à marge fimbriée.
disk 	 Disque étalé multilobulé, séparé par un étranglement d'un androgynophore charnu couronné de poils à la base des 3 étamines; anthères transversalement déhiscentes;  pollen simple tricolporé à réticule grossier. 
ovary 	 Ovaire pubescent à 3 loges multio-vulées.
fruits 	 Fruit sec à trois méricarpes déhiscents en 2 valves non caduques.
locules 	 Loge carpellaire tapissée de poils.
seeds 	 Graines pubescentes autour de l'embryon; aile développée, bordée mais non traversée par le raphé. 
funicles 	 Pas d'étuis funiculaires différenciés mais parfois des vestiges d'arilles.
habit 	 Liane atteignant 25-30 m de hauteur, à tige principale dépassant 10 cm de diamètre, renflée aux noeuds.
bark 	 Écorce grossière, squameuse, fissurée en long, craquelée transversalement, gris ocracé, blanchâtre en profondeur.
juvenile shoots 	 Jeunes rameaux velus à poils roux clair.
petiole 	 Pétiole pubescent long de 6-12 mm.
lamina 	 Limbe pubescent sur les deux faces, discolore, roussâ-tre à olivacé à sec, subcoriace, ovale, de (4)5-15 x 2-8 cm, à base obtuse à subcordée, à sommet brièvement acuminé.
secondary veins 	 Nervures secondaires 6-8 paires arquées.
veinlets 	 Fin réseau souvent peu distinct.
cymes 	 Cymes bipares entièrement pubescentes rousses, de 5-15 cm, ou panicules de cymes plus grandes; pédoncule de cyme de (1)2-10 cm, portant jusqu'à 5-6 niveaux de ramification. 
bracts 	 Bractées grandes, lancéolées de 3-8 x 2-3 mm, tôt caduques ou un peu persistantes.
pedicels 	 Pédicelles de4-15 mm.
flower buds 	 Bouton floral de 3-6 mm de diamètre, globuleux subapiculé, à sépales quinconciaux jointifs au sommet.
flowers 	 Fleur pubescente, blanchâtre ou jaunâtre, de 12-15 mm de diamètre.
sepals 	 Sépales fauves, pubescents sur les deux faces, réfractés, de 4 x 2,5 mm.
petals 	 Pétales de 5-7 x 4 mm, à onglet de 1,5-2 mm, à limbe ové fimbrié et fine pubescence dorée; lanières marginales de 1 mm, un peu spatulées au bout. 
disk 	 Disque inférieur vert, glabre, 20-30 lobulé, de 5-7 mm de diamètrc; gynandrophore couronné de poils fauves dressés. 
stamens 	 Étamines de 2-3 mm, glabres.
ovary 	 Ovaire velu entre les étamines; style glabre atténué tronqué. 
ovules 	 12-22 ovules en 2-3 rangées.
fruits 	 Fruit 3-carpellé; chaque méricarpe de 4-7 x 2-3 cm, roussâtre pubé-rulent, présente une fente de déhiscence médiane qui ne libère pas les valves;  paroi des valves épaisse de 1,5-3 mm;  face interne à pubescence ascendante. 
seeds 	 Graine à tégument séminal vêtu de poils descendants; aile à 2 nervures marginales dont le raphé, et sans épaississement basai;  embryon cylindrique à cotylédons séparés;  à radicule nettement saillante. 
habit 	 Liane ligneuse inerme entièrement glabre et dépourvue de caoutchouc.
periderm 	 Liège du rhytidome recouvrant une mince couche orange (comme divers Salacia); bois cylindrique à structure normale. 
leaves 	 Feuilles simples pétiolées opposées; stipules réduites. 
